6	16	1	1444857207250
5	3	1	1444857243550
7	49	0	1444857260853
2	8	0	1444857275598
10	4	0	1444857281723
5	11	1	1444857567365
2	6	0	1444857577169
6	15	0	1444857594291
3	24	1	1444857619448
8	3	0	1444857640825
8	7	0	1444857663353
9	13	1	1444857671368
4	24	0	1444857682564
7	57	0	1444857809915
3	0	1	1444857828632
7	54	0	1444857835984
2	8	0	1444857845149
4	24	0	1444857853049
4	8	1	1444857864270
2	9	0	1444857875581
7	54	1	1444857909802
2	1	1	1444857919243
7	53	1	1444857998414
7	38	0	1444858016224
0	14	1	1444858037132
1	3	0	1444858051809
2	7	0	1444858063606
5	17	1	1444858072550
10	10	0	1444858145841
9	17	0	1444858156857
4	21	1	1444858166658
6	15	0	1444858288190
8	1	0	1444858298410
8	3	0	1444858319512
7	8	1	1444858345202
5	10	0	1444858369605
2	1	0	1444858394107
10	8	0	1444858401540
10	5	0	1444858409812
5	11	1	1444858418519
5	4	1	1444858425262
7	28	1	1444858451084
7	51	1	1444858458145
9	10	1	1444858467901
2	4	0	1444858474690
8	3	0	1444858519318
10	8	1	1444858532237
2	6	0	1444858546112
2	3	1	1444858551590
6	22	1	1444858563539
6	11	1	1444858583882
3	22	1	1444858848811
10	7	0	1444858859748
5	1	1	1444858871050
3	17	1	1444858912512
10	6	1	1444858919584
10	0	0	1444858925233
6	2	1	1444858946045
8	6	0	1444858961111
4	15	0	1444858986164
8	2	1	1444859017737
10	2	0	1445791792488
3	9	1	1445791803687
8	4	0	1445791836505
12	0	1	1445791873803
3	1	1	1448969808040
12	3	1	1448969962378
4	4	1	1448969969763
6	22	1	1448970038870
2	2	0	1448970042646
3	26	0	1448970094782
13	2	0	1448970119242
6	22	1	1448970136363
2	2	1	1448970148464
11	0	0	1448970274393
9	13	0	1448970288858
2	6	0	1448970317355
3	8	0	1448970331670
4	15	0	1448970499584
1	3	1	1448970532838
15	1	0	1448970547510
6	22	1	1448978509201
17	0	0	1448978528954
9	4	1	1448978545582
9	0	1	1448978549948
5	1	1	1448978841028
13	4	0	1448978856719
17	1	0	1448978871147
3	21	1	1448978894340
9	18	0	1448978901045
0	8	1	1448978929542
4	3	1	1448978938918
3	4	1	1448979994978
1	8	1	1448981555536
11	0	0	1448981559347
10	3	0	1448981573971
7	57	1	1448981587839
14	13	0	1448981605614
14	2	0	1448981717739
12	1	1	1448981734074
14	13	0	1448981763265
10	6	1	1448981843548
11	3	0	1448981850344
10	2	1	1448981870600
2	7	0	1448981905148
4	1	1	1448981925609
10	1	0	1448981960818
14	1	0	1448981971822
7	19	0	1448981979281
8	2	0	1448981981077
14	4	1	1448982216505
14	12	0	1448982251987
